Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Car_Model,Car_Price,Loan_Status
Female,No,3+,Not Graduate,No,30093,32933,1962603,240,1,Rural,Hatchback,3754812,Y
Female,Yes,0,Not Graduate,No,16155,43469,1775029,360,1,Urban,Van,2626869,N
Male,Yes,2,Not Graduate,No,56607,33687,636645,60,0,Urban,Sedan,3490876,N
Male,Yes,2,Not Graduate,Yes,43487,41073,1542092,240,1,Rural,Coupe,1442639,Y
Female,No,3+,Graduate,No,65668,17375,2152131,60,1,Semiurban,Truck,1491993,Y
Male,Yes,0,Not Graduate,No,30963,48483,1686837,60,1,Rural,SUV,1849282,Y
Male,No,0,Not Graduate,No,60124,30926,842221,300,1,Urban,Truck,2010902,Y
Male,Yes,2,Graduate,No,62870,36607,2935919,120,0,Rural,Convertible,2617321,N
Female,No,0,Graduate,No,66547,17642,1679580,360,1,Urban,Sedan,1477362,Y
Female,No,0,Not Graduate,Yes,74110,23993,553687,120,1,Urban,Coupe,3405188,Y
Male,Yes,0,Graduate,No,63554,44386,1354744,180,0,Rural,SUV,2948966,N
Female,No,1,Not Graduate,No,30936,46287,1656191,300,1,Urban,Truck,2973901,Y
Female,No,3+,Graduate,No,14426,21188,2990272,300,1,Semiurban,Van,3996610,N
Female,Yes,2,Graduate,No,98839,32596,1479091,120,1,Urban,Hatchback,3249580,Y
Female,No,2,Not Graduate,Yes,37606,27772,1104453,300,0,Rural,SUV,602537,N
Female,Yes,1,Graduate,Yes,57832,30857,1082111,120,1,Semiurban,Truck,2319201,Y
Male,No,3+,Graduate,Yes,38151,10776,2539660,300,1,Semiurban,Hatchback,3232741,N
Female,Yes,2,Graduate,No,89303,32835,2519450,60,1,Urban,Truck,2867303,N
Male,Yes,0,Graduate,No,21308,9788,1006554,120,1,Rural,Hatchback,1401347,Y
Male,No,2,Graduate,Yes,72522,5660,2471140,120,1,Urban,Van,1780280,Y
Female,No,0,Graduate,Yes,55671,4478,2551789,240,1,Urban,Van,3763147,N
Male,No,1,Not Graduate,Yes,12204,8210,1627109,300,1,Rural,Sedan,1852507,N
Male,No,0,Not Graduate,No,97265,10922,740011,300,0,Rural,Sedan,3433166,N
Male,No,2,Graduate,No,41131,36289,1737903,120,1,Urban,SUV,2278727,Y
Female,Yes,2,Not Graduate,Yes,62428,33340,2053744,60,1,Semiurban,Van,3350310,Y
Female,No,2,Not Graduate,Yes,43870,39850,572684,60,1,Urban,Coupe,1292214,Y
Male,Yes,1,Not Graduate,Yes,59067,38163,1998710,360,1,Semiurban,Truck,1091058,Y
Female,Yes,1,Graduate,No,68585,48175,2288220,60,0,Urban,Truck,2176373,N
Female,No,3+,Not Graduate,No,31607,18642,1765197,300,1,Rural,Truck,1779372,Y
Female,Yes,2,Graduate,No,34968,11094,2330288,240,1,Semiurban,SUV,1315636,Y
Female,Yes,0,Not Graduate,Yes,21908,22423,2491336,120,1,Rural,Truck,2090016,N
Male,Yes,1,Graduate,Yes,36423,33418,2341646,180,1,Rural,Convertible,2072730,Y
Male,Yes,2,Graduate,No,84707,5741,2106241,240,1,Rural,Hatchback,948402,Y
Female,No,2,Not Graduate,Yes,88257,46049,2096246,180,1,Rural,Truck,2949851,Y
Female,Yes,1,Not Graduate,No,71215,6838,2319239,240,1,Rural,Hatchback,2813248,Y
Male,No,3+,Graduate,Yes,65835,3262,1211423,60,1,Urban,Sedan,1258019,Y
Male,No,1,Not Graduate,Yes,59429,4996,2750618,300,1,Semiurban,Truck,781833,N
Female,Yes,1,Not Graduate,Yes,92152,44594,734318,180,1,Urban,Coupe,2035834,Y
Male,No,0,Not Graduate,Yes,48458,22164,2969930,240,0,Urban,Van,2942547,N
Female,No,0,Graduate,No,56169,35595,631936,300,1,Urban,Van,1736968,Y
Female,No,3+,Graduate,Yes,17659,30257,1457726,180,1,Rural,Sedan,3578882,Y
Male,Yes,2,Not Graduate,No,70614,14211,2479746,120,1,Urban,Convertible,2260027,Y
Male,No,1,Not Graduate,No,87240,30453,1147952,240,1,Semiurban,SUV,1917285,Y
Female,No,3+,Not Graduate,No,42793,5232,2969970,120,1,Urban,SUV,2021093,N
Female,No,0,Graduate,Yes,56473,2217,1368277,60,0,Rural,Coupe,2488022,N
Male,Yes,1,Graduate,No,99388,24229,1796573,120,1,Semiurban,Sedan,1587288,Y
Female,No,2,Not Graduate,No,98330,14232,1618166,120,0,Semiurban,Sedan,1281675,N
Male,Yes,0,Not Graduate,No,65751,25613,2925767,360,1,Semiurban,Convertible,736502,N
Female,Yes,0,Not Graduate,Yes,88915,14026,2064371,240,1,Semiurban,Truck,3842077,Y
Male,Yes,0,Not Graduate,Yes,64254,28554,1854018,60,0,Urban,SUV,3957504,N
Male,Yes,3+,Not Graduate,No,17006,30908,2004900,120,1,Rural,Truck,3552687,N
Male,Yes,2,Not Graduate,Yes,84218,19610,2121788,300,0,Semiurban,Sedan,522551,N
Female,Yes,1,Graduate,No,75344,46646,909925,180,1,Semiurban,Truck,3693796,Y
Female,No,3+,Not Graduate,No,43840,39605,691896,120,0,Rural,Van,593608,N
Male,Yes,3+,Graduate,Yes,42430,7031,1589118,60,1,Urban,Coupe,3157001,Y
Female,No,3+,Not Graduate,No,33091,47574,913461,120,1,Semiurban,SUV,3779692,Y
Male,No,0,Not Graduate,Yes,42983,25515,1583329,180,1,Urban,Convertible,786539,Y
Male,Yes,2,Graduate,Yes,33989,36484,2880612,60,1,Urban,Coupe,2091620,N
Female,No,3+,Graduate,No,85451,36182,733979,240,1,Urban,Hatchback,2844804,Y
Female,No,1,Graduate,Yes,28990,570,1108986,60,1,Urban,Van,2553790,Y
Male,No,2,Graduate,Yes,90360,32254,778104,240,1,Semiurban,Convertible,3549307,Y
Female,No,1,Not Graduate,No,46081,19288,1579367,60,1,Semiurban,Coupe,2848379,Y
Female,Yes,2,Graduate,No,21033,13288,1525270,180,1,Urban,Sedan,828477,N
Male,No,1,Not Graduate,Yes,26241,29877,2884512,180,1,Urban,Hatchback,3064113,N
Male,Yes,0,Graduate,Yes,15939,18889,2498547,60,1,Rural,Convertible,999755,N
Female,No,3+,Not Graduate,No,57562,917,1875147,120,1,Rural,Sedan,3301818,Y
Male,No,1,Not Graduate,Yes,45063,10066,1097578,180,1,Rural,Van,2225282,Y
Male,Yes,2,Not Graduate,Yes,86721,29504,635150,240,1,Semiurban,Hatchback,2363032,Y
Female,No,3+,Not Graduate,Yes,37045,6982,1495893,240,1,Rural,SUV,1250310,Y
Male,No,3+,Not Graduate,Yes,54769,39104,2339050,300,0,Semiurban,Sedan,3589809,N
Male,No,2,Not Graduate,Yes,57118,18062,2955257,360,0,Semiurban,Coupe,2724344,N
Female,Yes,1,Graduate,Yes,94703,16999,2140975,360,1,Semiurban,Truck,2330455,Y
Female,No,0,Not Graduate,Yes,31625,9941,2440066,360,1,Semiurban,Convertible,1380670,Y
Male,Yes,0,Graduate,No,37076,23470,843150,240,1,Rural,Hatchback,1878148,Y
Male,No,1,Graduate,No,74805,45148,2046064,300,1,Urban,Sedan,3544410,Y
Female,Yes,3+,Not Graduate,No,54605,21133,1279091,360,1,Urban,SUV,2922651,Y
Female,Yes,3+,Graduate,No,94565,44435,2866789,360,1,Urban,Truck,2000033,N
Female,No,3+,Not Graduate,No,98509,4529,2666791,60,1,Rural,Convertible,962176,N
Female,No,3+,Graduate,Yes,49121,17519,1865103,60,1,Urban,Convertible,3379932,Y
Male,Yes,1,Not Graduate,Yes,75101,12192,2206930,60,1,Rural,Sedan,738826,Y
Female,Yes,3+,Graduate,Yes,41433,8566,2273216,120,0,Rural,SUV,2217354,N
Female,No,2,Not Graduate,Yes,53309,7226,2906530,360,1,Rural,Van,1250782,N
Male,Yes,3+,Not Graduate,No,77468,37930,1464795,120,0,Urban,Truck,981809,N
Female,No,0,Not Graduate,Yes,54254,49358,2201538,300,0,Urban,Van,1734832,N
Male,No,3+,Not Graduate,Yes,77293,21259,2078458,240,1,Urban,Hatchback,3590086,Y
Female,No,1,Graduate,No,47853,34087,2309771,360,1,Semiurban,Sedan,2318182,Y
Female,No,0,Not Graduate,Yes,48405,1141,769515,240,1,Rural,Truck,672905,Y
Female,Yes,1,Graduate,Yes,76652,4627,2120179,60,0,Semiurban,Hatchback,893781,N
Male,No,1,Graduate,No,53527,47269,2287500,360,0,Rural,Van,2506260,N
Male,Yes,0,Graduate,Yes,87227,2690,2829672,180,1,Urban,Truck,1566978,N
Female,No,1,Not Graduate,Yes,10492,40091,2152390,120,1,Rural,Convertible,1722493,N
Male,Yes,1,Graduate,Yes,18811,3255,1171986,120,1,Rural,Hatchback,3658562,Y
Male,No,3+,Graduate,Yes,34272,5213,2834482,360,1,Semiurban,SUV,3189290,N
Male,Yes,2,Graduate,Yes,82010,36876,637900,60,1,Rural,Coupe,537180,Y
Male,Yes,1,Not Graduate,No,57153,19404,819658,120,0,Urban,Van,1945675,N
Male,No,1,Not Graduate,No,64110,25380,1000364,60,1,Rural,Van,1133976,Y
Male,No,1,Graduate,No,23979,25520,1784283,300,1,Rural,SUV,3852387,N
Female,No,3+,Not Graduate,No,38328,19173,2053493,240,1,Rural,Truck,1917240,Y
Female,No,2,Not Graduate,No,22867,23989,2003061,180,1,Semiurban,Truck,1675711,N
Male,Yes,0,Graduate,No,69234,42570,1013066,240,1,Rural,Truck,2751347,Y
Female,No,3+,Graduate,Yes,35851,24519,2420967,240,1,Rural,Hatchback,2131345,Y
Female,Yes,3+,Not Graduate,No,41279,22439,2861331,300,0,Semiurban,Sedan,1097726,N
Female,Yes,2,Graduate,No,83402,11413,1658343,120,0,Semiurban,Convertible,1135779,N
Female,No,2,Not Graduate,Yes,25449,14995,1041529,180,1,Semiurban,Coupe,3119893,Y
Male,Yes,3+,Not Graduate,Yes,86221,23559,654226,120,0,Semiurban,Sedan,3007941,N
Female,Yes,0,Not Graduate,No,99080,45351,1462454,360,1,Urban,Sedan,857054,Y
Female,Yes,3+,Not Graduate,Yes,15451,23513,2653548,240,1,Urban,SUV,3702222,N
Male,Yes,2,Not Graduate,No,97178,5021,2041019,360,1,Rural,Hatchback,3002656,Y
Male,No,0,Not Graduate,Yes,51316,32464,618920,60,1,Urban,Van,2381986,Y
Female,No,2,Graduate,No,73064,21119,906547,240,0,Rural,Van,1489924,N
Female,No,0,Graduate,Yes,73761,29299,2792151,120,1,Urban,SUV,2977141,N
Female,No,1,Not Graduate,Yes,48870,39350,2159090,240,1,Semiurban,Hatchback,2465629,Y
Female,Yes,2,Not Graduate,No,40873,46223,2157583,60,1,Semiurban,SUV,3328607,Y
Female,Yes,2,Not Graduate,No,68627,25517,563014,300,1,Urban,Van,1603248,Y
Female,No,3+,Graduate,No,76155,13117,2782702,360,1,Urban,Sedan,2134685,N
Male,No,2,Not Graduate,No,35372,22250,2216190,360,1,Rural,Convertible,569224,Y
Female,No,2,Graduate,No,13642,18950,1735382,120,1,Rural,Truck,1529922,N
Female,Yes,1,Not Graduate,Yes,38001,17359,1970413,240,1,Rural,Hatchback,734745,Y
Male,No,2,Not Graduate,No,44064,23596,1533994,120,0,Semiurban,Coupe,2651948,N
Male,No,1,Graduate,No,24122,25530,838585,300,1,Semiurban,Coupe,2863319,Y
Male,No,1,Graduate,Yes,34820,1262,2919493,240,1,Semiurban,Sedan,2318222,N
Male,Yes,1,Not Graduate,Yes,78431,40150,856778,240,1,Semiurban,SUV,3335148,Y
Female,Yes,1,Not Graduate,No,65745,22615,1797682,120,1,Rural,SUV,1716383,Y
Female,Yes,0,Not Graduate,Yes,60081,3327,2041037,120,1,Semiurban,Van,1063506,Y
Female,Yes,3+,Graduate,Yes,80902,29768,1160197,60,1,Semiurban,Sedan,1429717,Y
Female,Yes,0,Graduate,No,18711,28850,2031817,300,0,Semiurban,Van,1015729,N
Female,Yes,2,Graduate,Yes,95132,42788,2537312,60,1,Semiurban,Van,1778342,N
Female,Yes,0,Graduate,Yes,28793,16848,2515074,360,0,Urban,Coupe,3412044,N
Male,Yes,0,Graduate,No,18199,46830,2020871,240,0,Rural,Van,1351112,N
Female,No,2,Graduate,No,86253,39542,1025754,120,1,Rural,Truck,2583805,Y
Male,No,2,Not Graduate,Yes,46191,15160,846030,240,1,Semiurban,Van,1579593,Y
Male,Yes,2,Not Graduate,Yes,20211,33998,2925207,240,1,Urban,Coupe,3613192,N
Female,Yes,0,Graduate,No,73069,27230,2302502,180,0,Rural,Truck,854182,N
Male,No,0,Not Graduate,Yes,98896,9076,1962538,360,0,Rural,SUV,1448494,N
Female,Yes,2,Not Graduate,Yes,66746,3805,2685574,180,1,Semiurban,Hatchback,3140955,N
Male,Yes,3+,Graduate,Yes,31542,31085,2051676,240,1,Semiurban,Convertible,2998002,Y
Female,Yes,3+,Not Graduate,No,41312,14715,2526819,120,1,Rural,Van,2805258,N
Male,No,1,Graduate,Yes,55242,5750,2574520,240,0,Rural,Truck,2542532,N
Female,No,2,Graduate,Yes,97893,48395,1515691,360,0,Urban,Hatchback,1446881,N
Female,No,1,Not Graduate,No,65388,13232,2932665,180,1,Rural,Coupe,3416585,N
Female,No,3+,Graduate,Yes,37691,35903,2169771,120,1,Rural,Hatchback,2074255,Y
Female,No,1,Graduate,Yes,87960,6953,1458378,240,1,Semiurban,Convertible,3317718,Y
Female,Yes,2,Graduate,No,94388,32093,1232722,300,1,Rural,Hatchback,1852935,Y
Male,No,2,Graduate,No,32601,25500,1386388,360,0,Semiurban,Truck,3201160,N
Male,Yes,2,Graduate,No,28020,22418,2291396,360,1,Rural,Hatchback,789258,N
Male,Yes,0,Graduate,No,18155,34314,2330957,300,1,Rural,Hatchback,2215818,N
Female,No,1,Graduate,Yes,79119,48225,1975159,240,1,Rural,Hatchback,1399574,Y
Male,No,3+,Graduate,Yes,91051,22449,1700847,360,0,Urban,Sedan,3269785,N
Female,Yes,3+,Not Graduate,No,46777,17478,1534104,120,1,Semiurban,Van,2268828,Y
Female,Yes,3+,Not Graduate,No,29710,35179,2950700,240,1,Urban,Coupe,3164119,N
Male,Yes,0,Not Graduate,Yes,34532,46881,1344156,240,1,Rural,Convertible,1811147,Y
Male,No,0,Graduate,No,28601,25338,1716053,180,0,Urban,Coupe,3187707,N
Female,No,2,Graduate,Yes,73227,26899,1777880,360,0,Semiurban,Sedan,2597951,N
Male,No,3+,Not Graduate,No,14967,4145,1315363,360,1,Rural,Sedan,1866379,Y
Female,No,0,Not Graduate,Yes,94289,32101,2344298,300,1,Urban,Truck,2036201,Y
Female,No,2,Not Graduate,No,30022,2775,2194000,180,1,Urban,Sedan,2079889,Y
Female,Yes,3+,Graduate,No,53463,45961,1890598,180,1,Semiurban,Van,1038769,Y
Female,No,1,Not Graduate,Yes,84671,31647,852621,360,1,Urban,Sedan,787555,Y
Female,Yes,2,Not Graduate,No,15722,45619,1231658,240,0,Semiurban,Hatchback,2300830,N
Male,Yes,0,Graduate,Yes,37413,45838,1185493,180,1,Rural,Coupe,3244454,Y
Male,Yes,0,Not Graduate,Yes,91050,19539,1918006,300,0,Rural,SUV,908177,N
Female,No,2,Graduate,Yes,95867,36738,2899771,180,1,Urban,Convertible,1963559,N
Female,No,2,Graduate,Yes,93596,26616,2955918,300,1,Rural,Sedan,1014111,N
Male,No,0,Graduate,Yes,76732,14119,1959096,180,1,Rural,Coupe,3697418,Y
Male,Yes,1,Not Graduate,No,22297,25159,2704725,300,1,Urban,Truck,1077158,N
Female,Yes,3+,Not Graduate,No,78323,37099,2381554,180,1,Rural,Sedan,3621192,Y
Male,Yes,1,Graduate,Yes,33816,10295,2866304,180,1,Urban,Van,3288647,N
Female,Yes,2,Not Graduate,No,50695,34710,810435,120,1,Semiurban,Sedan,2530594,Y
Male,Yes,1,Not Graduate,Yes,29702,24685,658477,300,1,Semiurban,Sedan,2684080,Y
Female,Yes,0,Not Graduate,No,35242,49343,2895682,300,1,Semiurban,Sedan,2070497,N
Male,No,2,Not Graduate,No,65841,25479,1700475,300,0,Urban,Truck,1234158,N
Female,No,3+,Graduate,No,77712,46172,2937839,60,1,Urban,Sedan,3192205,N
Male,No,0,Not Graduate,No,95663,33629,1515197,180,0,Rural,Convertible,3931644,N
Male,No,0,Graduate,Yes,63574,42043,1846652,300,1,Rural,Coupe,2465425,Y
Female,Yes,3+,Graduate,Yes,95744,17033,2480407,360,1,Rural,Van,1305231,Y
Male,Yes,3+,Not Graduate,No,38482,36902,2448888,60,1,Rural,Sedan,1922771,Y
Female,No,1,Graduate,No,19171,44571,1301125,120,0,Rural,Sedan,3251381,N
Male,Yes,2,Not Graduate,Yes,13696,15408,2886537,300,1,Urban,Sedan,3669283,N
Female,No,3+,Not Graduate,No,30058,17420,2692942,300,1,Urban,Sedan,1946053,N
Male,No,3+,Graduate,Yes,30313,16351,1433044,60,1,Semiurban,Hatchback,2979129,Y
Female,No,2,Graduate,Yes,29149,4131,2268693,180,1,Semiurban,Hatchback,1355434,N
Male,Yes,3+,Graduate,Yes,63521,44825,2491161,360,1,Semiurban,SUV,808697,Y
Female,No,3+,Graduate,No,55740,11349,1810015,120,1,Semiurban,Sedan,3910960,Y
Male,No,1,Not Graduate,Yes,14956,44254,1559926,300,1,Urban,SUV,1025403,N
Female,No,0,Not Graduate,No,85731,38225,818953,180,0,Urban,Convertible,3584770,N
Female,Yes,0,Not Graduate,Yes,92612,38847,601894,360,1,Urban,SUV,1223486,Y
Female,Yes,0,Graduate,No,76641,12453,1908277,360,1,Rural,Coupe,572908,Y
Male,No,0,Graduate,No,73811,18814,2494449,120,1,Rural,Hatchback,2141973,Y
Female,Yes,3+,Graduate,No,62160,18263,2104592,240,1,Semiurban,Hatchback,2337986,Y
Male,Yes,2,Not Graduate,Yes,61313,12158,779720,360,1,Rural,Sedan,871087,Y
Female,Yes,2,Graduate,Yes,73232,15735,1548966,240,1,Urban,Sedan,509422,Y
Male,Yes,1,Not Graduate,No,25417,15830,906245,360,0,Semiurban,Convertible,2771850,N
Female,Yes,1,Graduate,No,34729,47893,522490,120,0,Semiurban,Van,3210673,N
Male,Yes,3+,Not Graduate,No,40099,44673,1332307,60,0,Rural,Convertible,1342606,N
Male,Yes,2,Not Graduate,Yes,39961,23926,2589632,120,1,Semiurban,Coupe,2038148,N
Female,Yes,2,Graduate,Yes,22602,45066,2340875,120,1,Rural,Sedan,3683471,N
Male,Yes,0,Graduate,Yes,19256,34779,1105108,60,1,Rural,Sedan,950415,Y
Male,Yes,3+,Not Graduate,Yes,96120,3373,2868417,60,1,Semiurban,Convertible,1941008,N
Female,No,3+,Not Graduate,No,44681,10335,501539,180,1,Rural,Convertible,3250440,Y
Male,No,0,Graduate,No,97440,23741,812579,360,1,Rural,Convertible,528834,Y
Male,Yes,3+,Graduate,Yes,74789,10692,2661117,180,1,Rural,Hatchback,1048723,N
Male,No,3+,Not Graduate,Yes,53361,47295,2063825,60,1,Rural,SUV,3732940,Y
Female,No,1,Graduate,No,74503,45541,1646375,240,1,Semiurban,SUV,2128661,Y
Male,Yes,2,Not Graduate,Yes,44540,34057,2024631,240,1,Urban,Sedan,3033922,Y
Female,Yes,3+,Not Graduate,Yes,36536,1447,1691890,120,1,Urban,Hatchback,1078843,Y
Male,Yes,1,Graduate,Yes,94700,19583,2845251,300,1,Rural,Convertible,585350,N
Male,No,2,Graduate,Yes,73043,22765,1530065,120,1,Rural,Sedan,514716,Y
Male,No,0,Graduate,Yes,88532,23906,1267610,120,1,Rural,Hatchback,1608837,Y
Female,Yes,1,Graduate,Yes,66575,19567,2307642,300,0,Urban,Coupe,1445032,N
Male,Yes,1,Graduate,No,12871,14139,1406395,360,1,Rural,Van,3385579,Y
Male,Yes,2,Not Graduate,Yes,56002,46525,2335515,60,1,Semiurban,Hatchback,2217780,Y
Female,No,0,Not Graduate,Yes,59812,38230,836430,240,1,Semiurban,Truck,1192019,Y
Male,No,1,Graduate,No,32626,19520,1162714,120,1,Semiurban,Sedan,3661250,Y
Female,No,3+,Graduate,No,69979,19702,2444606,300,0,Urban,SUV,1940352,N
Female,No,3+,Graduate,No,86057,25566,1110724,180,1,Rural,Truck,2409042,Y
Male,Yes,3+,Not Graduate,Yes,76668,7657,2807600,120,1,Rural,Convertible,2377330,N
Female,Yes,0,Graduate,No,90070,37688,1470278,240,0,Rural,Van,2926934,N
Male,Yes,1,Graduate,Yes,99390,30134,995919,60,1,Urban,Coupe,1387766,Y
Female,Yes,3+,Not Graduate,Yes,52998,10345,1577209,120,1,Urban,Van,2212460,Y
Female,No,0,Not Graduate,Yes,73814,41185,1310927,120,1,Urban,Van,1055134,Y
Male,No,3+,Graduate,No,55607,49928,2809608,360,1,Urban,Hatchback,1360075,N
Female,Yes,2,Graduate,No,17812,27413,1847203,300,1,Semiurban,Sedan,3574752,N
Female,Yes,1,Graduate,No,71844,5208,2972477,180,1,Urban,Sedan,2513783,N
Female,No,1,Not Graduate,No,80093,33455,966589,180,0,Urban,Van,1835119,N
Female,Yes,0,Graduate,No,12179,49681,2893365,60,1,Urban,Convertible,1230520,N
Female,No,0,Graduate,Yes,53798,28018,1687018,240,1,Rural,Sedan,2820886,Y
Male,Yes,1,Graduate,Yes,84601,45991,2192737,60,1,Rural,Van,1548278,Y
Female,Yes,3+,Not Graduate,Yes,18275,8080,1403275,120,0,Rural,Sedan,3341179,N
Male,Yes,3+,Not Graduate,Yes,60574,21902,2767357,120,0,Semiurban,Convertible,623182,N
Female,Yes,2,Graduate,No,57857,9486,2299971,180,1,Semiurban,Coupe,548591,Y
Male,Yes,3+,Graduate,No,30700,38862,1644337,240,1,Urban,Truck,3797514,Y
Male,Yes,0,Not Graduate,Yes,49464,21158,1924473,300,1,Rural,Van,1523671,Y
Female,Yes,0,Not Graduate,No,52351,40460,2434790,240,1,Semiurban,SUV,3943749,Y
Female,No,3+,Not Graduate,No,92534,43856,1884704,120,1,Rural,SUV,584106,Y
Female,No,0,Not Graduate,Yes,23869,35871,1073881,300,1,Semiurban,Van,2150882,Y
Male,No,1,Not Graduate,Yes,70315,35208,2410617,240,1,Semiurban,Hatchback,2959150,Y
Female,No,1,Not Graduate,No,30954,20519,1518454,240,0,Urban,Coupe,2525216,N
Male,No,3+,Not Graduate,No,41555,31379,2602361,300,1,Urban,Hatchback,664486,N
Male,Yes,1,Not Graduate,Yes,73353,28378,2199564,120,0,Semiurban,Truck,2193696,N
Male,Yes,1,Not Graduate,Yes,92190,39892,2996901,240,1,Urban,SUV,3208016,N
Female,No,2,Graduate,Yes,55026,49996,2159461,300,1,Semiurban,Convertible,3331455,Y
Female,Yes,2,Graduate,No,56976,14031,1558503,360,1,Semiurban,Van,2327528,Y
Male,No,1,Graduate,Yes,90578,14536,1141621,360,1,Rural,Truck,2564921,Y
Male,No,3+,Not Graduate,Yes,55095,446,2935678,120,1,Urban,Sedan,1235062,N
Female,Yes,2,Graduate,No,24270,36683,2736157,300,1,Urban,SUV,1227468,N
Male,Yes,0,Not Graduate,No,40908,48555,2176644,360,1,Urban,Coupe,2564618,Y
Female,Yes,0,Not Graduate,No,25523,17618,2113560,300,1,Rural,SUV,592508,N
Male,No,0,Graduate,No,72433,6587,2793673,240,1,Rural,Coupe,3954707,N
Female,Yes,3+,Not Graduate,No,57068,31480,949764,120,1,Rural,Coupe,3315845,Y
Male,No,1,Graduate,Yes,29991,32994,1949589,360,1,Urban,Van,2115328,N
Female,No,0,Graduate,Yes,20775,20527,2998714,240,1,Urban,Coupe,3496038,N
Male,No,3+,Graduate,No,87801,23569,716486,60,0,Urban,Hatchback,1178283,N
Female,Yes,2,Not Graduate,No,94995,11151,926888,60,1,Rural,Truck,1664638,Y
Female,Yes,1,Graduate,No,71250,5558,1335988,120,1,Rural,Convertible,3576511,Y
Male,No,2,Not Graduate,No,26673,44739,1410155,360,1,Semiurban,SUV,2402453,Y
Male,Yes,3+,Graduate,No,37056,32954,1050428,360,1,Rural,Convertible,2589875,Y
Female,Yes,0,Graduate,Yes,16614,47448,763328,360,0,Semiurban,Truck,2969750,N
Male,Yes,0,Graduate,Yes,17415,47327,2589706,300,1,Urban,Sedan,3219824,N
Female,No,3+,Not Graduate,Yes,98691,43837,1976285,240,1,Rural,Truck,3298658,Y
Male,No,0,Not Graduate,Yes,53884,35303,2228782,360,1,Urban,SUV,3967904,Y
Female,Yes,1,Not Graduate,No,26964,34700,611361,240,1,Urban,Convertible,1924241,Y
Female,No,3+,Graduate,Yes,47726,27500,2226131,120,0,Urban,Convertible,1402810,N
Female,Yes,2,Graduate,No,47044,2032,897172,360,1,Urban,Van,3138580,Y
Female,Yes,3+,Not Graduate,No,67149,1252,1565131,120,1,Rural,Van,764814,Y
Female,Yes,1,Not Graduate,No,47544,5509,1114673,360,1,Urban,Truck,1847239,Y
Female,Yes,1,Not Graduate,Yes,59976,37842,755658,60,1,Semiurban,Truck,1475315,Y
Male,No,3+,Not Graduate,No,42252,13900,1990641,180,1,Rural,Sedan,2700717,Y
Male,No,3+,Not Graduate,Yes,13832,14523,2230283,120,1,Urban,Coupe,3267203,N
Male,No,0,Not Graduate,Yes,90437,1881,1254085,360,1,Rural,SUV,3488740,Y
Female,Yes,1,Graduate,No,44148,33037,2700996,180,0,Semiurban,Van,685964,N
Female,Yes,3+,Not Graduate,No,71240,1630,1639897,120,1,Urban,SUV,1736855,Y
Female,Yes,3+,Graduate,No,98454,20789,1335488,300,1,Semiurban,Sedan,1546094,Y
Female,No,1,Graduate,Yes,95076,22523,2267787,360,1,Urban,Van,3892389,Y
Male,Yes,3+,Not Graduate,No,87116,17958,2695386,300,0,Semiurban,Van,3810240,N
Male,No,0,Not Graduate,Yes,63459,46151,1251993,60,1,Urban,Coupe,3916502,Y
Female,No,1,Graduate,No,48402,48920,1225571,360,1,Rural,SUV,3906028,Y
Male,No,0,Not Graduate,No,67727,43852,1328282,60,1,Urban,SUV,1788220,Y
Male,No,0,Not Graduate,Yes,48578,1695,971761,180,1,Rural,SUV,1254108,Y
Female,No,0,Graduate,Yes,32318,14821,2921616,120,1,Urban,Coupe,1232878,N
Male,No,0,Graduate,Yes,85715,3262,2221793,240,1,Urban,Van,3719919,Y
Female,Yes,1,Graduate,Yes,87787,1445,1771209,60,1,Semiurban,Sedan,2530871,Y
Male,Yes,0,Not Graduate,Yes,95029,16436,1469752,240,1,Semiurban,SUV,1501622,Y
Female,No,0,Graduate,Yes,30466,9949,817942,240,1,Semiurban,Convertible,3746319,Y
Female,No,3+,Not Graduate,No,55475,23963,837462,120,0,Urban,Coupe,2136617,N
Female,Yes,1,Graduate,No,70142,29932,1914906,180,0,Urban,Hatchback,2052053,N
Female,No,1,Graduate,Yes,95160,6901,850046,120,1,Urban,Sedan,2863304,Y
Male,No,2,Graduate,No,36564,33487,921773,360,1,Rural,Convertible,2966704,Y
Female,Yes,1,Not Graduate,Yes,32412,8597,2930630,60,1,Rural,SUV,2859792,N
Female,No,1,Not Graduate,No,61001,6855,868863,240,1,Urban,Hatchback,861911,Y
Female,No,2,Graduate,No,67649,18678,1868328,120,0,Semiurban,Sedan,1546251,N
Male,No,1,Graduate,Yes,70957,8263,2704601,120,1,Semiurban,Coupe,785356,N
Female,Yes,1,Graduate,Yes,45517,47288,1651404,120,1,Semiurban,Hatchback,3428811,Y
Male,Yes,1,Not Graduate,Yes,23156,25805,1675189,60,1,Urban,Van,2024205,N
Female,Yes,1,Graduate,No,33064,26143,572095,180,1,Semiurban,Truck,3503337,Y
Male,No,2,Not Graduate,Yes,35711,11874,587593,120,1,Urban,Hatchback,1668694,Y
Male,No,1,Graduate,No,40106,27529,1191252,60,1,Rural,Truck,2287282,Y
Female,Yes,1,Graduate,Yes,75458,20866,1887962,240,1,Semiurban,Convertible,2869180,Y
Male,No,2,Graduate,No,26589,14079,1402473,360,1,Rural,Sedan,616481,Y
